Title,City,Country_code,Marker_icon,Workplace_type,Experience_level,Published_at,Remote_interview,Remote,Open_to_hire_Ukrainians,Company_size_from,Company_size_to,salary_from_permanent,salary_to_permanent,salary_currency_permanent,currency_exchange_rate,skills_name_0,skills_value_0,skills_name_1,skills_value_1,skills_name_2,skills_value_2
Senior/Mid Cloud Ops Engineer,Kraków,PL,devops,remote,senior,2022-07-04T10:48:00.000Z,FALSE,TRUE,FALSE,2400,0,17000,24000,pln,0,Linux,3,CI/CD,4,AWS,4
Senior Cloud Ops Engineer (AWS),Katowice,PL,devops,remote,senior,2022-04-07T10:00:15.222Z,TRUE,TRUE,TRUE,2400,0,17000,24000,pln,0,Java,3,Linux networking,4,Cloud Computing,5
Mid Cloud Ops Engineer (AWS),Wrocław,PL,devops,remote,mid,2022-04-11T09:00:22.687Z,TRUE,TRUE,TRUE,2400,0,17000,24000,pln,0,Java,3,Linux networking,4,Cloud Computing,5
Cloud Ops Engineer (AWS),Wrocław,PL,devops,remote,mid,2022-04-11T08:00:21.445Z,TRUE,TRUE,TRUE,2400,0,17000,24000,pln,0,Java,3,Linux networking,4,Cloud Computing,5
JIRA Administrator,Poznań,PL,admin,remote,mid,2022-08-02T13:00:09.838Z,FALSE,TRUE,FALSE,400,0,17000,17000,pln,0,Confluence,3,JIRA,3,English,4
Senior Front End Software Engineer,Wrocław,PL,javascript,partly_remote,senior,2022-05-02T15:00:22.176Z,TRUE,FALSE,TRUE,700,0,17000,21000,pln,0,HTML,4,JavaScript,4,Front-End,5
Senior Back End Engineer with AWS,Kraków,PL,java,remote,senior,2022-04-27T19:31:00.000Z,TRUE,TRUE,TRUE,700,0,17000,21000,pln,0,AWS,4,Kubernetes,4,Java,4
Senior Full Stack Software Engineer,Wrocław,PL,java,partly_remote,senior,2022-03-09T19:00:00.000Z,TRUE,FALSE,,700,0,17000,21000,pln,0,AWS,2,TypeScript,2,Java,4
DevOps Engineer,Warszawa,PL,devops,remote,mid,2022-07-01T09:43:00.000Z,TRUE,TRUE,TRUE,1,5,17000,34000,pln,0,CI/CD,4,Kubernetes,4,Docker,4
Senior Product Manager,Kraków,PL,pm,remote,senior,2022-06-06T11:25:24.124Z,TRUE,TRUE,FALSE,1000,0,17000,27000,pln,0,English,4,Project Management,4,Agile,4
Front-end Developer,Warszawa,PL,python,partly_remote,mid,2022-07-07T14:45:00.000Z,TRUE,FALSE,TRUE,250,300,17000,20000,pln,0,Python,1,Angular 11+,3,unknown,0
Angular Developer,Warszawa,PL,other,partly_remote,mid,2022-06-06T09:36:53.925Z,TRUE,FALSE,TRUE,250,300,17000,20000,pln,0,Python,1,Angular 11+,3,unknown,0
Python Developer,Warszawa,PL,python,partly_remote,mid,2022-06-06T09:13:17.288Z,TRUE,FALSE,TRUE,250,300,17000,20000,pln,0,Angular,1,Python,3,unknown,0
SAP Engineer RTE/Scrum Master,Wrocław,PL,erp,partly_remote,senior,2022-07-31T13:00:09.778Z,TRUE,FALSE,TRUE,250,0,17000,24000,pln,0,SAFe,4,Scrum Master,5,Agile,5
SAP PP/DS Consultant,Wrocław,PL,erp,partly_remote,senior,2022-07-31T11:00:14.548Z,TRUE,FALSE,TRUE,250,0,17000,24000,pln,0,Safety Stock Planning,3,Shelf Life Planning,3,SAP EEC PPDS/APO,4
DevOps,Gdańsk,PL,devops,remote,mid,2022-08-08T12:12:00.000Z,FALSE,TRUE,TRUE,30000,0,17000,22000,pln,0,Ansible,3,Git,3,AWS,3
Senior Java Engineer,Kraków,PL,java,remote,senior,2022-06-24T11:25:00.000Z,TRUE,TRUE,FALSE,30,0,17000,22000,pln,0,Webpack,4,React,4,Java,4
Senior Fullstack Engineer,Kraków,PL,javascript,remote,senior,2022-06-24T11:07:00.000Z,TRUE,TRUE,FALSE,30,0,17000,22000,pln,0,Webpack,4,React,4,JavaScript,4
Java Developer,Wrocław,PL,java,partly_remote,mid,2022-10-03T14:00:09.898Z,TRUE,FALSE,FALSE,500,0,17000,23000,pln,0,AWS,4,Java,5,unknown,0
